Document Date,purchasing document,item,material,short text,order quantity,order unit,currency,net price,net order value,plant,purchasing group,purchasing organization,price unit,supplier_code,supplier_name
12/12/2018,4500142849,10,,Paper Sticker for Label Printer,24,EA,THB,350,8400,RB11,RB2,RB00,1,BG00012100, CHANWATTANA  SCALE SALE
12/14/2018,4500142854,10,,Repair Floor Scale 300 kg.,1,JOB,THB,12500,12500,RB11,RB2,RB00,1,BG00012100, CHANWATTANA  SCALE SALE
12/13/2018,4500142652,10,,"เครื่องดับเพลิง""Anti-Fire""ชนิดผงเคมีแห้ง",19,SET,THB,1380,26220,RB11,RB0,RB00,1,BG00012103," ANTI FIRE INDUSTRY CO.,"
12/25/2018,4500143456,10,,Customs duty&tax (INV.K38-0906-2),1,EA,THB,3634,3634,RB11,RB2,RB00,1,BG00012126, CUSTOM DEPARTMENT
12/13/2018,4500142611,10,,Member fee January-December 2019,1,JOB,THB,23540,23540,RB11,RB0,RB00,1,BG00012142, Green Valley Courntry Cl
12/27/2018,4500143699,10,,Insurance Policy,1,JOB,THB,3708,3708,RB11,RB0,RB00,1,BG00012168, MITSUI SUMITOMO INSURANC
12/13/2018,4500142640,10,,Membership fee from 1 Dec18-30 Nov19,1,JOB,THB,10000,10000,RB11,RB0,RB00,1,BG00012172, MOTHER BRAIN (THAILAND)
12/7/2018,4500142187,10,,GCMS 5977 Turbo system,2,JOB,THB,173553.6,347107.2,RB11,RB1,RB00,1,BG00012322, AGILENT TECHNOLOGIES (TH
12/20/2018,4500143490,10,,ค่าบริการทดสอบน้ำหนักเครนไฟฟ้า (PD-IRS),1,JOB,THB,36000,36000,RB11,RB0,RB00,1,BG00012325, ALLA PUBLIC COMPANY LIMI
12/20/2018,4500143490,20,,ค่าบริการทดสอบน้ำหนักเครนไฟฟ้า (RD-CC),1,JOB,THB,12000,12000,RB11,RB0,RB00,1,BG00012325, ALLA PUBLIC COMPANY LIMI
12/11/2018,4500142465,10,,BulkStrap Model: BS65,2,EA,THB,5600,11200,RB11,RB2,RB00,1,BG00012348," ATMET PACKAGING CO., LTD"
